"subject" "session" "item" "cond" "amplitude_prestim" "amplitude_n400" "amplitude_p600" "roi" "sem" "syn"
"66" 2 "s2" 78 245 -4.35886551155116 -3.78774257425742 4.26522075055188 "centro-parietal" -0.5 0.5
"67" 2 "s2" 79 255 2.01123432343234 -8.72790346534654 10.6053681015453 "centro-parietal" 0.5 0.5
"68" 2 "s2" 80 225 5.5348704620462 -1.19682178217822 1.03612196467991 "centro-parietal" -0.5 -0.5
"69" 2 "s2" 81 235 3.27686551155115 -2.94101732673267 -0.525948675496689 "centro-parietal" 0.5 -0.5
"70" 2 "s2" 82 245 6.47110808580858 -7.84540346534654 -0.168698675496689 "centro-parietal" -0.5 0.5
"71" 2 "s2" 83 255 5.64045297029703 4.6819298679868 -5.16724116997792 "centro-parietal" 0.5 0.5
"72" 2 "s2" 84 225 2.05943151815182 -8.69667904290429 -0.710376931567329 "centro-parietal" -0.5 -0.5
"73" 2 "s2" 85 235 0.560601485148515 2.50396617161716 -0.51871302428256 "centro-parietal" 0.5 -0.5
"74" 2 "s2" 86 245 6.0830495049505 -7.30993894389439 -1.23701986754967 "centro-parietal" -0.5 0.5
"75" 2 "s2" 87 255 -0.65105198019802 4.63085148514852 -0.469603752759382 "centro-parietal" 0.5 0.5
"76" 2 "s2" 88 225 -0.69172607260726 -3.50437128712871 -1.3317798013245 "centro-parietal" -0.5 -0.5
"77" 2 "s2" 89 235 -6.41844801980198 -7.07738201320132 4.53771136865342 "centro-parietal" 0.5 -0.5
"78" 2 "s2" 90 245 -0.64739191419142 -5.46586138613862 -1.90564238410596 "centro-parietal" -0.5 0.5
"79" 2 "s2" 91 255 -0.552417491749176 -4.88139933993399 5.91369536423841 "centro-parietal" 0.5 0.5
"80" 2 "s2" 92 225 6.78676897689769 -6.92052475247525 -2.06384768211921 "centro-parietal" -0.5 -0.5
"81" 2 "s2" 93 235 -1.45200660066007 -0.333239273927393 8.09959657836644 "centro-parietal" 0.5 -0.5
"82" 2 "s2" 94 245 -5.00002310231023 1.48047112211221 2.94598068432671 "centro-parietal" -0.5 0.5
"83" 2 "s2" 95 255 2.71084818481848 2.06300412541254 -0.806495033112584 "centro-parietal" 0.5 0.5
"84" 2 "s2" 96 225 0.37667409240924 12.108699669967 6.15162086092715 "centro-parietal" -0.5 -0.5
"85" 2 "s2" 97 235 -0.64927392739274 -1.81867244224422 0.727700883002208 "centro-parietal" 0.5 -0.5
