"item" "subj" "cond" "dur"
"117" 9 5 "a" 0.501087707619951
"118" 9 6 "a" 0.575909266408894
"119" 9 7 "a" 0.588994521515471
"120" 9 8 "a" 0.534953975890589
"121" 9 9 "a" 0.570860747204223
"122" 9 10 "a" 0.602215655503946
"123" 9 11 "a" 0.648859886583385
"124" 9 12 "a" 0.403155617604603
"125" 9 13 "a" 0.420227861195907
"126" 9 14 "a" 0.37532339016093
"127" 10 1 "a" 0.50582327349482
"128" 10 2 "a" 0.500795441444803
"129" 10 3 "a" 0.649130927882284
"130" 10 4 "a" 0.445697057582875
"131" 10 5 "a" 0.49306525436499
"132" 10 6 "a" 0.492556703234654
"133" 10 7 "a" 0.57550890904371
"134" 10 8 "a" 0.554634591764407
"135" 10 9 "a" 0.446864010259297
"136" 10 10 "a" 0.519994909487086
"137" 10 11 "a" 0.713598012240301
"138" 10 12 "a" 0.422283698720511
"139" 10 13 "a" 0.387309502087614
"140" 10 14 "a" 0.519806838932433
"141" 11 1 "a" 0.531004929126129
"142" 11 2 "a" 0.491328199345808
"143" 11 3 "a" 0.493672351979092
"144" 11 4 "a" 0.538656962912856
"145" 11 5 "a" 0.509098737978649
"146" 11 6 "a" 0.531629333943153
"147" 11 7 "a" 0.752797338624909
"148" 11 8 "a" 0.533506666757574
"149" 11 9 "a" 0.56085012742278
"150" 11 10 "a" 0.538104782277697
"151" 11 11 "a" 0.482558271252818
"152" 11 12 "a" 0.587618141605576
"153" 11 13 "a" 0.418980269318331
"154" 11 14 "a" 0.542017403844467
"155" 12 1 "a" 0.52618874825555
"156" 12 2 "a" 0.525708976113341
"157" 12 3 "a" 0.633937891106467
"158" 12 4 "a" 0.527076644652134
"159" 12 5 "a" 0.522801691282399
"160" 12 6 "a" 0.636268977029483
"161" 12 7 "a" 0.679743232977251
"162" 12 8 "a" 0.755591215958522
"163" 12 9 "a" 0.547614716471178
"164" 12 10 "a" 0.568610984594025
"165" 12 11 "a" 0.636706324154085
"166" 12 12 "a" 0.430347796814341
"167" 12 13 "a" 0.543212363933188
"168" 12 14 "a" 0.437098740317294
"169" 13 1 "a" 0.465143002106593
"170" 13 2 "a" 0.442705502921266
"171" 13 3 "a" 0.481293602016884
"172" 13 4 "a" 0.445617331451892
"173" 13 5 "a" 0.0131809330790455
"174" 13 6 "a" 0.584567244619266
"175" 13 7 "a" 0.664758259365516
"176" 13 8 "a" 0.561830225897015
"177" 13 9 "a" 0.504674163969285
"178" 13 10 "a" 0.54530339900914
"179" 13 11 "a" 0.447307752731724
"180" 13 12 "a" 0.674408839488729
"181" 13 13 "a" 0.418449927801496
"182" 13 14 "a" 0.355919118379044
"183" 14 1 "a" 0.549655108271486
"184" 14 2 "a" 0.541714139350929
"185" 14 3 "a" 0.573549384507078
"186" 14 4 "a" 0.530940800126546
"187" 14 5 "a" 0.478185397493644
"188" 14 6 "a" 0.62758418998809
"189" 14 7 "a" 0.728670349677442
"190" 14 8 "a" 0.452959811276898
"191" 14 9 "a" 0.524553355741985
"192" 14 10 "a" 0.63044814127374
"193" 14 11 "a" 0.447383059624153
"194" 14 12 "a" 0.464010705576299
"195" 14 13 "a" 0.424389111769703
"196" 14 14 "a" 0.619191478448794
"197" 15 1 "a" 0.511994316477369
"198" 15 2 "a" 0.449532215757789
"199" 15 3 "a" 0.533958152554083
"200" 15 4 "a" 0.531724031200351
"201" 15 5 "a" 0.456796852924982
"202" 15 6 "a" 0.541280204642752
