"subj" "item" "rt" "dist" "distance" "pred" "predability"
"7069" 8 14 312 -1 "short" -1 "predictable"
"7154" 8 4 466 -1 "short" 1 "unpredictable"
"7173" 8 30 310 -1 "short" -1 "predictable"
"7269" 8 11 379 1 "long" -1 "predictable"
"7321" 8 16 336 -1 "short" 1 "unpredictable"
"7342" 8 34 351 -1 "short" -1 "predictable"
"7394" 8 35 426 1 "long" -1 "predictable"
"7422" 8 13 1416 1 "long" 1 "unpredictable"
"7492" 8 2 247 -1 "short" -1 "predictable"
"7539" 8 1 383 1 "long" 1 "unpredictable"
"7581" 8 24 291 -1 "short" 1 "unpredictable"
"7617" 8 7 348 1 "long" -1 "predictable"
"7660" 8 5 461 1 "long" 1 "unpredictable"
"7689" 8 6 764 -1 "short" -1 "predictable"
"7725" 8 27 485 1 "long" -1 "predictable"
"7748" 8 22 310 -1 "short" -1 "predictable"
"7784" 8 15 267 1 "long" -1 "predictable"
"7895" 9 22 1487 1 "long" -1 "predictable"
"7918" 9 1 828 -1 "short" -1 "predictable"
"7938" 9 7 1039 -1 "short" 1 "unpredictable"
"7994" 9 2 1333 1 "long" -1 "predictable"
"8043" 9 17 566 -1 "short" -1 "predictable"
"8135" 9 34 970 1 "long" -1 "predictable"
"8179" 9 11 569 -1 "short" 1 "unpredictable"
"8204" 9 20 490 1 "long" 1 "unpredictable"
"8229" 9 30 500 1 "long" -1 "predictable"
"8266" 9 4 661 1 "long" 1 "unpredictable"
"8313" 9 21 558 -1 "short" -1 "predictable"
"8350" 9 12 541 1 "long" 1 "unpredictable"
"8371" 9 13 428 -1 "short" -1 "predictable"
"8409" 9 15 514 -1 "short" 1 "unpredictable"
"8451" 9 36 1166 1 "long" 1 "unpredictable"
"8510" 9 16 452 1 "long" 1 "unpredictable"
"8540" 9 31 406 -1 "short" 1 "unpredictable"
"8582" 9 29 738 -1 "short" -1 "predictable"
"8631" 9 9 376 -1 "short" -1 "predictable"
"8655" 9 3 396 -1 "short" 1 "unpredictable"
"8679" 9 26 360 1 "long" -1 "predictable"
"8699" 9 23 312 -1 "short" 1 "unpredictable"
"8755" 9 5 399 -1 "short" -1 "predictable"
"8800" 9 32 370 1 "long" 1 "unpredictable"
"8825" 9 14 432 1 "long" -1 "predictable"
"8853" 9 33 331 -1 "short" -1 "predictable"
"8892" 9 35 380 -1 "short" 1 "unpredictable"
"8927" 9 10 441 1 "long" -1 "predictable"
"8996" 9 24 384 1 "long" 1 "unpredictable"
"9076" 9 28 407 1 "long" 1 "unpredictable"
"9106" 9 27 454 -1 "short" 1 "unpredictable"
"9144" 9 18 408 1 "long" -1 "predictable"
"9197" 9 25 378 -1 "short" -1 "predictable"
"9289" 9 19 368 -1 "short" 1 "unpredictable"
"9327" 9 8 380 1 "long" 1 "unpredictable"
"9360" 9 6 507 1 "long" -1 "predictable"
"9454" 10 4 412 -1 "short" -1 "predictable"
"9510" 10 33 408 1 "long" -1 "predictable"
"9554" 10 29 677 1 "long" -1 "predictable"
"9599" 10 25 496 1 "long" -1 "predictable"
"9622" 10 13 598 1 "long" -1 "predictable"
"9669" 10 35 388 1 "long" 1 "unpredictable"
"9698" 10 5 340 1 "long" -1 "predictable"
"9756" 10 34 652 -1 "short" 1 "unpredictable"
"9781" 10 26 403 -1 "short" 1 "unpredictable"
"9826" 10 7 544 1 "long" 1 "unpredictable"
"9850" 10 2 318 -1 "short" 1 "unpredictable"
"9873" 10 9 327 1 "long" -1 "predictable"
"9911" 10 14 362 -1 "short" 1 "unpredictable"
"9933" 10 10 303 -1 "short" 1 "unpredictable"
"9976" 10 3 340 1 "long" 1 "unpredictable"
"10142" 10 11 267 1 "long" 1 "unpredictable"
"10206" 10 32 270 -1 "short" -1 "predictable"
"10251" 10 15 283 1 "long" 1 "unpredictable"
"10310" 10 1 273 1 "long" -1 "predictable"
"10329" 10 12 227 -1 "short" -1 "predictable"
"10347" 10 36 300 -1 "short" -1 "predictable"
"10369" 10 20 309 -1 "short" -1 "predictable"
"10416" 10 23 534 1 "long" 1 "unpredictable"
"10441" 10 30 460 -1 "short" 1 "unpredictable"
